,Asset List,,,,,,,,,
,Asset Name,Address,,CO/Acq. Date,Portfolio,Ownership,Tranche,Market,Management,Address_cont
,Walden Park,13126 Ranch Rd 620,,5/8/17,Baranof 7,Invesco,Tranche 1,Austin,Extra Space,"Austin, TX 78717"
,Ranch Rd 620,11200 Ranch Rd 620,,8/18/17,Baranof 7,Invesco,Tranche 1,Austin,Extra Space,"Austin, TX 78726"
,Glenwood,7901 Glenwood Ave,,5/15/17,Baranof 7,Invesco,Tranche 1,Raleigh,Cube Smart,"Raleigh, NC 27612"
,622 Capital,622 Capital Blvd,,5/25/18,Baranof 7,Invesco,Tranche 1,Raleigh,Cube Smart,"Raleigh, NC 27603"
,Campbell,155 E. Sunnyoaks Drive,,7/1/19,Baranof 7,Invesco,Tranche 1,South Bay,Public Storage,"Campbell, CA 95008"
,51st Street,1000 E. 50th St,,1/17/18,Baranof 7,Invesco,Tranche 1,Austin,Extra Space,"Austin, TX 78751"
,Boston Lane,4518 Boston Lane,,10/18/18,Baranof 7,Invesco,Tranche 1,Austin,Extra Space,"Austin, TX 78735"
,Norwood,1450 Boston Providence Hwy,,4/29/19,Baranof AM,Invesco,Tranche 1,Boston,Extra Space,"Norwood, MA 02062"
,SBG,1135 Golden Gate Drive,,1/15/20,Baranof AM,Invesco,Tranche 1,San Francisco,Extra Space,"Napa, CA 94558"
,Morena,908 Sherman Street,,7/15/20,Baranof AM,Invesco,Tranche 1,San Diego,Westport,"San Diego, CA 92110"
,Hyacinth,1815 NW Hayacinth,,12/3/20,Baranof AM,Invesco,Tranche 1,Portland,Public Storage,"Salem, OR 97301"
,Turner Rd,2150 Turner Rd SE,,12/3/20,Baranof AM,Invesco,Tranche 1,Portland,Public Storage,"Salem, OR 97302"
,Manteca,1735 E. Yosemite,,4/13/21,Baranof AM,Invesco,Tranche 1,Stockton,Extra Space,"Merced, CA 95340"
,Fremont,43015 Osgood Rd,,4/13/21,Baranof AM,Invesco,Tranche 1,San Jose,Cube Smart,"Fremont, CA 94539"
,Chandler,1919 E. Ray Rd,,5/20/21,Baranof AM,Invesco,Tranche 1,Phoenix,Cube Smart,"Chandler, AZ 85225"
,Mesa,7110 East Southern Ave,,6/18/21,Baranof AM,Invesco,Tranche 1,Phoenix,Cube Smart,"Mesa, AZ 85209"
,El Mirage,12500 W Thunderbird Rd,,6/18/21,Baranof AM,Invesco,Tranche 1,Phoenix,Cube Smart,"El Mirage, AZ 85335"
,Solana Beach,545 Stevens Ave W,,7/1/21,Baranof AM,Invesco,Tranche 1,San Diego,Extra Space,"Solana Beach, CA 92075"
,Tulsa,1440 E. 71st St.,,5/7/21,Crow,Crow,,Tulsa,Extra Space,"Tulsa, OK 74136"
,Miami Beach,633 Alton,,8/6/21,,Baranof,,Miami,Trunk Space,"Miami Beach, FL 33139"
,Columbia,9201 Old Guilford Rd,,9/10/21,UBS,UBS,,Washington DC,Extra Space,"Columbia, MD 21046"
,Central S.S.,641 E. Warner Rd,,10/26/21,Baranof AM,Invesco,Tranche 1,Phoenix,Cube Smart,"Chandler, AZ 85225"
,Stoneham,54 Montvale ave,,10/29/21,UBS,UBS,,Boston,Extra Space,"Montvale, NJ 07645"
,Mill Creek,17811 Bothell Everett,,11/10/21,Baranof AM,Invesco,Tranche 1,Seattle,Extra Space,"Stoneham, MA 02180"
,Red Bank,6 Central Ave,,12/17/21,Baranof AM,Invesco,Tranche 2,New Jersey,Extra Space,"Whiting, NJ 08759"
,Mantua,222 Bridgeton Pike,,1/19/22,Crow,Crow,,New Jersey,Public Storage,"Mullica Hill, NJ 08062"
,Burlington,35 Ray Ave.,,3/3/22,Baranof AM,Invesco,Tranche 2,Boston,Extra Space,"Burlington, MA 01803"
